2025-09-17 00:11:04.306 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: quicksort -> <function quicksort at 0x103b140e0>
2025-09-17 00:11:04.306 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: mergesort -> <function mergesort at 0x103b14180>
2025-09-17 00:11:04.306 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: heapsort -> <function heapsort at 0x103b14220>
2025-09-17 00:11:04.306 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: counting_sort -> <function counting_sort at 0x103b14360>
2025-09-17 00:11:04.306 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: radix_sort -> <function radix_sort at 0x103b14400>
2025-09-17 00:11:04.307 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: kmp_search -> <function kmp_search at 0x103b14540>
2025-09-17 00:11:04.662 | SUCCESS  | __main__:demo_dsu:36 - DSU 演示完成。
2025-09-17 00:11:11.335 | DEBUG    | datastructure_factory.logging_config:setup_logging:33 - Logging initialized. File: data/logs/ds_factory.log
2025-09-17 00:11:11.336 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: array_list -> <class 'datastructure_factory.linear.array_list.DynamicArray'>
2025-09-17 00:11:11.337 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: singly_linked_list -> <class 'datastructure_factory.linear.linked_list.SinglyLinkedList'>
2025-09-17 00:11:11.337 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: deque_list -> <class 'datastructure_factory.linear.linked_list.DequeList'>
2025-09-17 00:11:11.337 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: stack -> <class 'datastructure_factory.linear.stack_queue.Stack'>
2025-09-17 00:11:11.337 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: queue -> <class 'datastructure_factory.linear.stack_queue.Queue'>
2025-09-17 00:11:11.338 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: hash_map -> <class 'datastructure_factory.hash.hashmap.HashMap'>
2025-09-17 00:11:11.338 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: lru_cache -> <class 'datastructure_factory.hash.lru_cache.LRUCache'>
2025-09-17 00:11:11.339 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: bst -> <class 'datastructure_factory.trees.bst.BST'>
2025-09-17 00:11:11.339 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: avl -> <class 'datastructure_factory.trees.avl.AVL'>
2025-09-17 00:11:11.340 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: min_heap -> <class 'datastructure_factory.heap.binary_heap.MinHeap'>
2025-09-17 00:11:11.340 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: dsu -> <class 'datastructure_factory.dsu.disjoint_set.DisjointSet'>
2025-09-17 00:11:11.340 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: graph -> <class 'datastructure_factory.graph.graph.Graph'>
2025-09-17 00:11:11.341 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: dijkstra -> <function dijkstra at 0x104543ce0>
2025-09-17 00:11:11.341 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: kruskal -> <function kruskal at 0x104543f60>
2025-09-17 00:11:11.341 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: quicksort -> <function quicksort at 0x1045640e0>
2025-09-17 00:11:11.341 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: mergesort -> <function mergesort at 0x104564180>
2025-09-17 00:11:11.342 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: heapsort -> <function heapsort at 0x104564220>
2025-09-17 00:11:11.342 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: counting_sort -> <function counting_sort at 0x1045642c0>
2025-09-17 00:11:11.342 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: radix_sort -> <function radix_sort at 0x104564400>
2025-09-17 00:11:11.342 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: kmp_search -> <function kmp_search at 0x104564540>
2025-09-17 00:11:11.666 | SUCCESS  | __main__:demo_lru:43 - LRU 演示完成。
